Nome do Paiciente,Nome da Mãe,Data de Nascimento,CPF,CNS,CEP,Endereço,Número,Complemento,Bairro,Cidade,Estado
Téo Sales Carmona,Melissa Colaço Santos,12/03/1984,176.104.227-03,731538631823430,19251-332,Rua Vitor,32,Fundos,Marques Assunção,Porto Davi d'Oeste,AC
Valentina Cervantes Mendes,Andréa Gomes Lira,11/04/2004,121.803.920-52,775754789327094,14299-039,Avenida Tainara,330,Apto 8,Delatorre Barreto,Leonardo do Sul,BA
Tábata Galvão Leal,Simone Ferraz Galindo,01/09/1980,008.014.785-29,891984638838045,74692-426,R. Alessandro Ortega,71,F,Marin Paes,Dayane d'Oeste,PA
Jerônimo Rios Cortês,Dirce Beltrão Ferminiano,10/10/1974,719.764.964-11,886146182356267,17676-965,Travessa Serra,47274,893º Andar,Garcia Perez,Escobar do Sul,RJ
Maurício Cordeiro Dias,Regina Corona Brito,27/01/1997,916.018.263-62,762940789882724,34915-955,Avenida Gisela,49560,4º Andar,Pereira Estrada,Ramos do Leste,AL
Gisela Feliciano Martines,Thalita Mendes Branco,10/07/2013,700.077.401-07,780711921609792,38118-310,Rua Mauro,49591,Anexo,Roque Estrada,Deivid do Norte,AM
Cléber Salazar Bezerra,Malena Camacho de Oliveira,09/09/1990,612.023.786-09,755190270964763,59804-891,Travessa Wellington,1,Apto 82,Molina Martines,Cortês d'Oeste,CE
Filipe Ramos Branco,Catarina Ramires de Aguiar,22/07/2019,897.514.175-62,858829645638408,61371-223,Largo Escobar,3787,Apto 0344,Ramires Matos,Rosana do Leste,ES
Beatriz Rezende Pereira,Bianca Alcantara Lovato,19/09/2016,446.161.549-96,845717653966300,51799-971,Av. Rodolfo Franco,53297,Bloco C,Uchoa Zambrano,Oliveira d'Oeste,MS
Marília Quintana Mendes,Karine Aranda Marinho,17/12/2019,497.970.870-69,963253175965354,85701-215,Av. Rios,79,Apto 29,Mendonça Galvão,Marina do Sul,PI
Rodrigo Cruz Cruz,Marília Caldeira Oliveira,25/07/1989,167.326.774-20,940371937941519,40445-169,Rua Prado,465,Apto 083,Ortega de Aguiar,Santa Analu,PR
Ellen Verdara Godói,Daniele Rodrigues Gusmão,02/03/2014,227.851.927-10,976773939045811,43178-855,Rua Mônica,174,Apto 0,Branco Quintana,Domingues do Leste,RJ
George Ferreira da Rosa,Patrícia Gil Ortega,10/06/2012,146.200.444-07,970511706006733,91624-492,Avenida Luiz Teles,6,Bc. 38 Ap. 81,Marés Valdez,Larissa do Norte,AP
Jean Soares Perez,Jaqueline da Silva Bittencourt,09/02/1986,065.134.648-70,913528493388917,09479-328,Travessa Julieta Chaves,4,Apto 2,Carmona Esteves,Vila Mateus do Leste,RS
Emanuel Zambrano Estrada,Elisa Reis Corona,24/04/1997,655.689.775-26,802799617112958,21166-524,Largo Sandoval,50,Bloco A,Teles Marques,São Benjamin d'Oeste,RN
Roberta Matias Marés,Emilly Rico Aranda,22/07/1971,302.793.474-05,920428928708220,06597-684,Largo Ramos,8,Apto 757,Brito Branco,Isabelly do Norte,RO
Ronaldo Tamoio Lovato,Melinda Alves Vega,04/02/2020,658.559.201-86,905828247367301,88528-036,R. Moisés,4792,Bloco C,Sepúlveda Balestero,Daniella d'Oeste,RR
André Aguiar Fidalgo,Heloísa Camacho Salgado,10/04/1978,635.655.348-00,953775329843431,08140-113,R. Natan,2,Bc. 6 Ap. 78,Perez Solano,Porto Igor d'Oeste,RO
George Ferminiano Fontes,Heloísa Pacheco de Souza,18/06/2013,201.847.438-34,857330247806929,30602-471,Rua Aparecida Tamoio,2,Bloco C,Serra Pedrosa,Ricardo do Sul,GO
Taís Balestero Valentin,Fátima Faro Lovato,20/10/1972,613.938.235-13,884155295167071,56600-167,Travessa Cervantes,600,Fundos,Pena Cortês,Santa Christian do Leste,PA
Maicon Tamoio Prado,Raissa Lozano Chaves,21/07/1993,933.113.123-25,931562657050932,77961-962,Rua Gusmão,65108,30º Andar,Queirós Ferminiano,Santa Mauro,PI
Alexa Escobar Vega,Catarina Lourenço D'ávila,06/02/1989,947.564.573-04,849455372811676,88732-840,Largo Naomi,99440,92º Andar,de Freitas Ferreira,Vasques d'Oeste,MG
Cristiana Delvalle Gomes,Manuela Zaragoça Galindo,27/03/1978,004.377.382-64,750276210817504,63364-195,R. Máximo Deverso,36,Apto 17,Lutero Carvalho,Vila Wagner do Sul,AL
Raphael Assunção Rosa,Vanessa Rosa Oliveira,26/08/2021,247.624.427-98,762677702235976,62649-262,Travessa Analu,208,Apto 1518,Bezerra Verdara,Simon do Leste,CE
Cristiana Valência Corona,Márcia Teles Godói,01/05/2018,659.659.206-52,936163788901133,92437-524,Travessa Diana Quintana,122,6º Andar,Sales Delgado,Vila Roberto,SP
Bella Quintana Perez,Lilian Fonseca Serra,17/02/2000,108.631.445-00,891336916800498,07777-424,Largo Maraisa,28505,Bloco A,Esteves Jimenes,São Natan do Leste,PB
Natal Meireles Soares,Bárbara D'ávila Marés,14/05/2019,292.877.417-35,768752221110266,99985-956,Avenida Maurício Sanches,53,F,Rosa Corona,Murilo do Leste,PE
Inácio Lozano Godói,Alana Mascarenhas Souza,10/05/2001,341.918.688-61,957135625529671,03694-722,R. Tomás Sandoval,6148,Bc. 5 Ap. 46,Lovato Valente,São Fátima,SC
Lorena Padrão Rocha,Marta Pacheco Delatorre,18/07/2009,774.738.774-10,768011919497653,04124-515,Largo Vega,8141,1º Andar,Correia Ferraz,Matos d'Oeste,AL
Taís Domingues Fonseca,Alice Soto Santiago,11/02/2008,884.125.644-30,919858630125447,82744-429,Largo Marcelo Padilha,6813,Bc. 52 Ap. 62,Ortiz Rivera,Porto Paula,SC
Victor Correia Romero,Fátima Padilha Branco,01/06/1999,783.357.794-49,731865536548554,60840-179,Rua Maurício,1014,Anexo,Rios Dominato,Vila Emanuel,BA
Madalena Gil Vale,Violeta Batista Quintana,16/03/1995,559.273.551-02,749880569704308,67383-095,R. Patrícia,53861,Fundos,Balestero Fidalgo,Santiago d'Oeste,SC
Carolina Arruda Lourenço,Maiara Vila Ávila,19/01/1999,262.453.640-00,879425731502031,89855-233,Travessa Ítalo,13073,Bloco C,Franco Pedrosa,Adriele do Norte,SC
Fernanda Saito Chaves,Bruna Queirós Corona,23/12/2003,284.404.128-00,877359806035557,01799-872,Largo Késia Zaragoça,5225,Bloco A,Galhardo Lourenço,Porto Paloma do Norte,AM
Otávio Casanova da Cruz,Katherine Fonseca Fidalgo,07/08/2001,577.901.831-68,967750782092138,05730-873,Largo Julieta Pacheco,1,Bc. 7 Ap. 32,Ferminiano Soares,Porto Yuri,AL
Cláudio de Oliveira Lourenço,Elis das Dores Sandoval,05/07/2006,951.643.395-28,952243733322116,20023-347,Rua Giovane Zaragoça,919,22º Andar,Valência Franco,Valdez do Norte,MS
Sandra Lovato Cortês,Eva Saito Burgos,17/01/1976,379.834.661-53,751927173153604,66949-580,Largo Noemi,6904,Bloco C,Aguiar Urias,São Breno do Leste,PR
Cristiana Dominato Ávila,Irene Valente Duarte,13/07/1971,137.977.941-34,975715994003371,11506-265,Travessa Joyce,4,Apto 469,Pontes Santana,Porto Hosana do Leste,RO
Ketlin Zaragoça Rocha,Franciele Rosa Grego,03/03/1971,323.155.907-36,862073734367574,93895-246,Av. Alcantara,230,Apto 49,Galvão Bezerra,Sepúlveda d'Oeste,MA
Cezar Rocha Serra,Antonella Feliciano Valente,17/01/1978,431.195.140-04,991957810965827,52311-964,Travessa Eunice Jimenes,26,Apto 3988,Gusmão Marin,Santa Priscila,BA
Allison Romero Torres,Emília Mascarenhas Alcantara,18/12/2019,208.756.316-06,950314019309494,06564-275,Travessa Aguiar,6,Anexo,Souza Pena,Rico do Norte,MT
Juan Souza Correia,Clara Oliveira Branco,12/08/1977,942.113.207-69,972067951859685,24262-176,Av. Daniela,55420,308º Andar,Fernandes Sepúlveda,Thales do Norte,RN
Flávio Martines Gil,Daniela Reis Grego,20/02/1992,394.471.312-55,950129329560949,83010-575,Travessa Vieira,526,Apto 96,Matos Mendes,Anita do Sul,ES
Ítalo Verdara Ferminiano,Tábata Perez Bittencourt,03/01/1987,694.823.643-09,710722711909145,08689-835,Rua Pedrosa,9,F,Batista Pedrosa,Santa Ítalo do Norte,RN
Mayara Vieira Sales,Graziela Ortiz Valente,01/11/2013,649.801.038-04,944513673084806,66767-260,Av. Roberto Valente,26511,Bloco C,Assunção Delgado,São Ricardo do Norte,PR
Mariana Saraiva Leal,Luzia Cruz Santacruz,11/12/1979,486.686.154-16,815828003028444,08354-746,Largo Padilha,4019,Apto 0469,Romero Zaragoça,Vila Cristiano,TO
Marcelo Deverso Deverso,Tainara Alves Chaves,26/12/2006,184.905.486-09,817092466695656,83721-700,Largo Juliano Leal,45,Anexo,Roque de Arruda,Vila Aurora,BA
Thalita Matias Salazar,Estela Uchoa Matos,22/03/1970,465.079.998-81,817737192686955,51700-736,Av. Pereira,55,Bc. 30 Ap. 36,Brito Leal,Santa Naiara,TO
Vinícius Carrara Pereira,Joana Bittencourt Dias,26/09/1976,390.009.208-76,797098522524405,76356-897,Av. Roberto das Neves,1,Bloco B,Cordeiro Godói,Grego do Norte,MA
Leandro Arruda Marin,Mariana Lozano Vieira,19/12/2011,285.765.523-10,759655052146395,39624-551,Av. Tatiana,661,Apto 3,Mendonça Mendonça,Martines do Leste,MG
Daniella Valentin Corona,Elisa Grego Aragão,25/08/1976,310.380.359-10,770732780470312,68585-932,Rua Alana,4752,F,Bonilha Paes,São Sueli,PI
Marcelo Toledo Serna,Naiara Medina Guerra,07/07/1975,830.781.128-70,782249301978595,85926-774,Av. Luzia,8273,Bloco A,Matos Estrada,Santa Luiz d'Oeste,RN
Leandro Sales Carmona,Rafaela Montenegro Beltrão,27/11/1983,473.497.436-53,844304501536039,95528-922,Av. Jaqueline,810,Bloco A,de Oliveira Vasques,Alícia do Norte,AC
Valentin Alves Ortega,Hosana Verdara Fonseca,12/11/1997,568.181.729-62,800965758921095,72137-003,Avenida Rafaela,7,93º Andar,Ortega Medina,Lozano do Sul,RO
Camilo Rico Gusmão,Caroline Pontes Leon,21/05/1989,139.700.421-51,707084942375454,01237-655,R. Allison Chaves,38467,Bloco C,Madeira Perez,Luísa do Norte,ES
Suelen Uchoa Gonçalves,Silvana Mendes de Aguiar,18/06/2022,149.442.314-66,998946052267682,10282-795,Avenida Rodrigues,4,Apto 8813,Valdez Madeira,Vega d'Oeste,AM
Nicolas Estrada Lutero,Maitê Lutero Godói,30/07/2004,552.987.109-72,902817838969634,60541-937,Largo Eliane da Silva,9641,Bloco B,Verdara Ferminiano,Quintana do Norte,RJ
Flávia Arruda Colaço,Madalena Amaral Paz,24/05/2006,217.640.946-97,858998130891101,48483-713,Avenida Maurício,1,0º Andar,Serra Flores,Rodrigues do Leste,SE
Noelí Serrano Galindo,Kelly das Dores Rangel,17/06/1983,598.783.611-52,885743749984518,05713-972,Largo Alessandro Padilha,3587,Apto 202,Colaço Pedrosa,Medina do Sul,PI
Samuel Faria Vale,Luara das Dores Padilha,01/12/2016,060.544.299-14,870250438365852,96089-926,Travessa Artur Dias,13,851º Andar,da Cruz Fontes,Benites do Sul,RS
Diana Benites Padrão,Louise Leal Marin,23/11/2000,235.478.272-13,902517566331824,95542-062,Av. Talita,7511,8º Andar,Santiago Valentin,Wagner do Sul,GO
Deivid Valência Furtado,Raissa Serrano Gonçalves,24/04/1973,162.976.975-40,881938479223439,83019-350,Travessa Tiago,1697,Bloco C,de Freitas Bittencourt,Toledo do Sul,RN
Amanda Lourenço Padrão,Carolina Salazar Rangel,05/02/1988,570.056.995-72,813328384493138,89164-083,Travessa Luiza Romero,4147,Apto 221,Azevedo Godói,Porto Wellington,SE
Alessandro Flores Rivera,Esther Leon Mendes,01/02/1987,380.055.921-83,778816876854829,43658-346,Avenida Verdara,33633,59º Andar,Santiago Lozano,Franciele do Leste,DF
Graziela Batista Marinho,Denise Amaral Saito,21/05/1990,122.372.080-26,958813496732875,85115-588,Largo de Aguiar,765,Bloco B,Gomes Garcia,Vila Horácio,PR
Leo Mascarenhas Roque,Stella Marin Medina,19/05/1985,065.880.298-45,798992682596913,88395-230,Travessa Diego,90,Apto 03,Cruz Caldeira,Santa Danilo,DF
Mari Medina Paes,Mariah Domingues Santos,12/04/2008,125.711.731-97,825530397466783,01503-393,Av. Toledo,884,7º Andar,Vieira Torres,Vila Dener,RS
Rayane Ferreira Aguiar,Sara das Dores Perez,02/01/2015,408.302.746-00,953399397562717,48041-030,R. Noa,44,Apto 786,Galindo Fernandes,Nathalia d'Oeste,MA
Suellen Benites Serrano,Denise Flores D'ávila,18/04/1999,675.382.684-05,759892737193548,18485-159,Largo Carmona,33964,F,Quintana Salazar,Brito do Leste,RR
Francisco Sandoval Teles,Adriele Romero Godói,17/05/1996,414.868.561-01,813093411676313,82703-509,Av. Ronaldo Sales,147,Bloco C,Rocha Colaço,Maia do Sul,RR
Simon Medina Ferreira,Tatiana Perez Fonseca,12/08/1977,696.431.268-46,903682547149806,12917-169,Rua Suzana,3564,Bc. 4 Ap. 43,Rezende de Souza,São Diogo,AP
Bianca Ferreira Prado,Elis Leon Carmona,01/04/2004,861.150.288-41,943285265418864,86563-929,Av. Giovane Carvalho,38027,Bc. 7 Ap. 47,Sandoval Dias,São Nathalia,MS
Taís Amaral Lovato,Rafaela Lovato Campos,12/12/2004,764.333.550-80,766468979149275,59147-996,Av. Laís,24,Bloco C,Barros Colaço,Sales do Norte,AC
Marina da Rosa das Dores,Beatriz Soto Neves,28/08/1998,537.488.578-29,991653361856677,96177-968,R. Matias Salas,4,Apto 3,Sales Neves,Valdez do Sul,ES
Sergio Pereira Deverso,Graziela Rivera Quintana,07/08/2012,899.828.474-06,945382945828698,79596-795,Rua Vila,594,Anexo,Delvalle Padrão,Franciele do Sul,BA
Eloah Toledo Torres,Ketlin Urias Espinoza,26/04/1983,279.197.810-00,845679320621727,61220-439,R. Hernani Soares,5,Fundos,Campos Marques,Vila Alana,BA
Saulo Corona Escobar,Cristina Pereira Duarte,27/09/1986,966.404.292-76,856179081282234,87464-765,Rua Joaquim,2,Bloco B,Rangel Santos,Tessália d'Oeste,SE
Rodolfo Meireles Matias,Gabrielle Velasques Flores,21/02/2023,533.639.760-11,870791335514908,68882-799,Av. Hugo Santacruz,404,Bloco A,Rocha Estrada,São Késia do Sul,PR
Suzana Dominato Cortês,Márcia Garcia Sepúlveda,05/02/2006,281.710.979-10,933679681830243,12276-455,Largo Cervantes,21,77º Andar,Galvão Maldonado,São Naomi do Norte,CE
Tiago Faria Pedrosa,Stephanie Delatorre Serrano,15/03/2002,830.270.315-03,877735345692354,40545-777,Largo Ricardo Padilha,917,Bc. 71 Ap. 98,Ferminiano Camacho,Domingues do Sul,AM
Andréa Saraiva Barreto,Daiane Rios Vila,10/04/2004,212.502.498-56,719681894686721,79845-417,R. Noemi de Arruda,1042,Bloco A,Rios Delvalle,Porto Heloise d'Oeste,GO
Luiz Ortega Amaral,Lilian Roque Romero,16/07/2019,970.429.017-97,930211894991610,40079-727,Rua Balestero,2774,Fundos,Uchoa Gomes,São Fernando do Sul,RO
Kauan Marques das Dores,Carolina Verdara Rosa,06/08/1995,409.348.676-07,765718359258263,22410-826,Rua Fernandes,9366,Bloco C,Teles Zambrano,de Souza do Sul,PR
Josué Serrano de Souza,Samanta Zamana Duarte,04/03/1982,065.272.731-00,858118750332211,82942-984,Travessa Davi,30988,Bloco B,Ortega Mendes,São Sebastião,SC
Kevin Santos Mascarenhas,Isabel Jimenes Furtado,05/02/2014,720.753.656-95,970987334120620,55031-507,Travessa Carol,1078,Bc. 0 Ap. 04,Leon Urias,Lourenço do Norte,SE
Alice Gonçalves Rocha,Melina Galvão Brito,11/07/2017,889.341.449-04,983556066184836,81853-798,Av. Cecília,403,Bloco C,Ferraz Fonseca,Porto Carlos,MT
Téo Benez Branco,Daniela Torres Oliveira,17/12/1982,738.705.073-22,848195032975251,24240-257,Avenida Noemi Marés,50637,Apto 59,Saito Molina,Prado do Norte,RO
Mariana Gomes Salgado,Thaís Abreu Salas,24/11/2015,462.272.860-52,942023400693181,30406-874,Avenida Maitê,51,Bc. 35 Ap. 42,Mascarenhas Ramires,Denis do Leste,MS
Bernardo Teles Queirós,Noa Gil Marques,15/12/2006,091.059.499-63,786931369892954,30993-929,Avenida Guilherme Pacheco,9521,Bloco A,Uchoa Furtado,Feliciano d'Oeste,ES
Diana Alves Lira,Madalena Jimenes Rocha,09/07/1990,449.475.168-52,974438601183716,36458-600,Av. Karina Queirós,37,Bloco A,Burgos Valência,Ferminiano do Leste,MA
Melinda Rodrigues Serra,Alícia Caldeira Burgos,16/02/1990,204.826.728-97,880585489788865,10392-591,Travessa Mila Delvalle,98,Bloco C,Uchoa Santacruz,São Maraisa do Sul,PE
Adriano Saraiva Serna,Sophia de Freitas Escobar,07/09/2014,839.605.182-85,776834917458142,77309-043,Rua William,9800,F,Ramires Maia,Santa Amanda do Leste,MT
Bárbara Arruda Assunção,Simone Queirós Fernandes,12/11/2003,999.117.002-24,955313125228389,20767-690,Av. Alcantara,649,23º Andar,das Dores Matias,Vila Noemi d'Oeste,RR
Christopher Abreu Gusmão,Noemi Gomes de Arruda,09/06/1975,664.177.049-47,704422753455264,46534-974,R. Mel,58,Apto 547,Carvalho Zambrano,Santa Karina do Leste,MS
Fabiana Assunção Ferreira,Tessália Delvalle de Souza,14/06/2022,894.505.197-06,888215733965099,21201-514,Av. Miriam,2144,Bloco A,Zambrano de Oliveira,São Daiana,SE
Cléber Franco Rangel,Paulina da Cruz Serrano,12/01/1987,844.561.563-76,938406234615369,84417-246,Rua Filipe Serra,7064,4º Andar,Velasques Barreto,Silvana do Norte,PB
Benjamin Oliveira Velasques,Letícia Galhardo Leon,06/09/2016,561.182.549-40,971256081364725,33887-446,Largo Abgail,970,F,Estrada Toledo,Vila Larissa,PE
Benjamin Leal Soares,Raquel Ferreira Velasques,24/10/2009,634.556.579-23,783160279228097,09655-912,Rua Vicente,7543,Anexo,Bonilha Carrara,Santa Manuel,MG
Naomi Aragão Valente,Dayane de Aguiar Tamoio,23/07/1994,797.335.986-90,772938543604625,60244-677,Rua Benez,28908,588º Andar,Azevedo Flores,Porto Willian,PR
Isabella Vale Corona,Adriana Leal Garcia,05/09/1981,003.974.303-96,927693391233218,02430-394,Largo Zamana,6273,Bloco B,Serrano Ferreira,Padrão do Sul,SC
Gabriel Medina Galvão,Elizabeth Faro Barros,25/03/1979,310.091.446-50,926210355402245,94707-992,Av. Ziraldo Carvalho,71,Fundos,Faria Paes,Karine do Leste,MS
Talita Lovato Alcantara,Juliana Gonçalves Ramos,30/09/1983,036.884.702-06,718432461571140,14405-153,Av. Sandro Marés,2,Bc. 74 Ap. 78,Benez Galhardo,Carvalho d'Oeste,PB
Bernardo Marques Serrano,Mirela Bezerra Valdez,25/02/1988,009.977.132-24,853312782801030,70605-209,Largo Toledo,1,Bloco B,Esteves Beltrão,Porto Natal,GO
Denis Ramos Brito,Talita da Silva Delatorre,12/01/1993,235.245.076-46,875276636618664,61156-765,Largo Sandro,81661,Apto 10,Serra Perez,Carmona do Leste,DF
Aaron Romero Barreto,Daniele Urias Marin,25/07/1972,943.175.010-40,817360735809537,83220-106,Av. Jaqueline,1,Apto 95,Duarte Gomes,Madeira d'Oeste,AL
Bruno Perez Amaral,Melissa Santiago Vale,17/07/1998,033.263.811-15,887470665513685,31910-162,Avenida Leonardo,6927,F,Martines Azevedo,Porto Marina,AL
Horácio Cruz Rangel,Norma Ferminiano Arruda,28/06/2009,103.503.657-68,860246052896909,13347-528,Travessa Lira,754,Fundos,Flores das Dores,Heitor do Leste,MT
Alícia Balestero Sandoval,Vanessa Fontes Medina,13/07/1983,361.446.844-50,777342099177856,42946-955,Travessa Estrada,46,Fundos,Dominato Verdugo,Santa Camilo,RS
Mari Amaral Oliveira,Débora Vale da Silva,23/12/1992,909.967.151-26,886566714188548,06786-956,Rua Franco,9,Bloco C,Barreto de Oliveira,São Téo,MT
Manoela Aguiar Batista,Ariane das Dores Medina,23/11/1979,935.987.512-06,709263123486563,77562-903,Rua Sebastião Montenegro,64407,68º Andar,Alves Tamoio,Mascarenhas do Sul,PA
Laura Ferraz D'ávila,Hortência Quintana Roque,24/05/2022,186.119.856-64,815681843032124,78669-504,Largo Bittencourt,95879,035º Andar,Serna da Cruz,Porto Nelson,TO
Nelson Estrada Lutero,Sandra Arruda Galindo,29/12/2022,899.106.812-00,885356551397848,07700-686,Largo Samuel,445,Apto 3406,Rosa Valdez,Molina do Norte,AL
Aaron Serrano da Rosa,Louise Serra das Neves,24/06/2021,951.127.571-24,729812486986885,48052-320,Travessa Ayla Aguiar,2,Apto 92,Benez da Cruz,Serrano do Leste,TO
Evandro das Dores Rivera,Suellen Prado Vale,21/10/1980,557.488.608-13,979277519370658,10610-151,Travessa Romero,79,Apto 45,Teles Ferreira,Porto Taís d'Oeste,RS
Amélia Vieira Camacho,Michele Vieira Lira,26/06/2002,069.859.975-62,817922148232166,45807-329,Travessa Cortês,6,Bc. 7 Ap. 87,Perez Lourenço,Porto Gabrielle,AM
Alexa Perez Souza,Verônica Solano Escobar,06/05/1997,723.614.290-55,794033987443300,58965-560,Avenida Beltrão,353,Bloco A,Duarte Galvão,Toledo d'Oeste,AC
Alexandre Gomes Queirós,Suellen Meireles Deverso,21/06/1982,639.043.944-01,866102516211360,67916-215,Travessa Arruda,90,Apto 1572,Benites Colaço,Velasques d'Oeste,CE
Roberta Perez Bonilha,Milena Serna Pedrosa,28/07/2020,688.383.866-09,762454318691870,53152-107,R. Viviane,485,075º Andar,Serrano Barros,de Aguiar do Leste,PR
Sofia Vale Salazar,Nádia das Dores Matias,22/07/1973,970.444.147-96,757448320916776,78643-592,Travessa Erik,9,59º Andar,Azevedo Abreu,Camila do Sul,AP
Isabelly Camacho Fidalgo,Isabel Vila Quintana,23/11/1988,728.706.859-12,807752734723451,40634-188,Av. Estela,2919,Apto 6,Faria Salgado,Augusto do Leste,AM
Gustavo Faria Beltrão,Maísa Leal Dias,23/03/2006,072.874.911-41,920957518944034,72111-854,Largo Manoela Torres,97106,55º Andar,Gonçalves Aranda,Santacruz d'Oeste,MT
Mayara Barros Torres,Yasmin Dias Caldeira,29/06/1983,788.836.380-69,959387868432033,41657-297,Largo Maurício,1,Apto 30,Rangel Barreto,Vieira do Sul,PR
Cristiano Madeira Padilha,Léia Prado de Arruda,10/07/2003,289.326.224-42,955997471083472,87434-066,Avenida Lilian,170,927º Andar,Delvalle Molina,Benjamin do Norte,SP
Isis Rios Galvão,Olívia Faro Roque,09/06/1972,837.487.884-36,854142418929549,80939-098,Rua Prado,2,Fundos,Santacruz Rios,São Liz do Norte,TO
Giovane Caldeira Caldeira,Joana Abreu Guerra,21/02/1981,740.971.456-57,768461072503328,36055-678,Travessa Andréia,1,Apto 081,Maia Roque,São Dante do Norte,SE
Mariah Fidalgo Ferraz,Mariah da Silva Bonilha,08/02/2013,889.776.791-50,933579261051706,39598-880,Largo Augusto Cruz,8300,118º Andar,Teles Saraiva,Porto Diego,MG
Yuri Reis Sales,Isadora Tamoio Fonseca,09/01/1979,767.026.880-83,748053614166553,64803-836,Travessa Eloah de Aguiar,418,F,Oliveira Sepúlveda,Vila Andréia,DF
Ana Carrara Carvalho,Mayara Zambrano Barreto,04/05/2013,070.475.296-40,883043451538818,47222-473,Avenida Aranda,20641,F,Faria Marinho,São Gael do Sul,MT
Sarah Perez Oliveira,Sophia Vila Serrano,04/11/2019,410.882.503-94,780141153911711,01307-581,Rua Jasmin,247,Apto 939,Bezerra Verdugo,Santa Marisa,AP
Michael Zamana Valência,Karina Lozano D'ávila,04/08/1980,749.847.180-99,942927201416418,55143-093,Av. Kauan,82055,Bloco C,Rivera Leal,Maicon do Norte,PA
Camilo Garcia Lozano,Ivana Zaragoça Burgos,11/07/1975,867.198.043-08,718145868888630,31635-141,R. Esther Marin,94,F,Prado Jimenes,São Sara d'Oeste,PB
Bella Quintana Serna,Nayara Rodrigues Carrara,03/02/2014,742.538.333-06,946924876589434,91564-081,Travessa Hosana,9,Apto 5376,Carvalho Aranda,Christopher do Norte,AP
Juan Valência Ramos,Isis Esteves Esteves,07/05/2016,567.366.494-04,871592572805885,99250-082,Avenida Irene,8,Apto 9,Marés D'ávila,Perez do Norte,PA
Rogério Branco Sales,Graziela Marin Tamoio,15/12/2016,230.187.279-32,715907959475088,62151-437,Avenida Samara,8,Bloco C,Teles Valdez,São Betina do Norte,MG
Marcelo Aragão Balestero,Priscila Assunção Ferreira,16/09/1981,334.310.725-50,743304535398580,07601-648,Avenida Violeta,2840,06º Andar,Pereira Fontes,Demian do Sul,TO
Marcelo Queirós Alves,Luísa Maldonado Sales,21/11/1975,071.763.814-61,904704600131693,67997-334,Travessa Kauan,62,Fundos,Madeira Escobar,Artur do Sul,SC
Martinho Alves Grego,Dayana Rezende Corona,18/08/2014,828.516.220-64,838849595792102,04773-105,R. Giovane Faria,27,Bloco C,Sandoval Vale,Porto Davi,MT
Mary Amaral Romero,Luiza Fernandes Chaves,15/07/2021,042.507.836-18,895521082938540,43248-046,Avenida Gabriel,2,Bc. 80 Ap. 12,Alves Prado,Santa Raysa do Sul,MG
Nádia Ortega Gomes,Michelle Flores Prado,14/10/2001,925.497.030-14,918700958232591,58690-931,R. Lucio Garcia,88,F,Serna Vieira,Vieira d'Oeste,SE
Walter Solano Rico,Laís Caldeira Bonilha,13/11/1996,472.194.698-88,705931216256184,56508-645,Av. Leal,32,Bloco A,Vale Tamoio,Vila Priscila do Leste,PE
João Bezerra Paes,Lilian Guerra Serrano,05/10/1975,222.923.379-32,925283496304236,68635-104,Avenida Aurora Vasques,7523,Apto 979,Vega Alves,Santa Juliano do Sul,PE
Simon Queirós Carmona,Heloise Lourenço Barros,20/02/1993,190.195.376-95,798367407587461,71111-499,Travessa Torres,8796,Apto 027,Zamana da Silva,São Stephany,SE
Cristiano Leal Gomes,Ohana Delgado Madeira,25/08/1978,446.932.917-73,810525297532535,94653-651,Av. Mauro Oliveira,40008,508º Andar,Zaragoça Vasques,Arruda do Sul,RN
Eduarda Garcia Branco,Lia Quintana Ferraz,04/05/2021,795.311.513-18,737346147170520,00885-666,R. Stephany,840,Anexo,Escobar Rangel,São Isabella,PR
Pedro de Oliveira da Rosa,Paulina Aguiar Alves,15/12/2016,033.318.863-27,945600603271091,34425-659,Avenida Emiliano,78614,Apto 795,Carrara Guerra,Santa Henrique do Leste,RS
Igor Neves Batista,Luana Campos de Oliveira,20/01/2014,120.630.151-12,927863735871609,26254-176,R. Aragão,73,Bc. 30 Ap. 09,Serra Rangel,Santa Rogério,ES
Leonardo Estrada Carrara,Mayara Tamoio Santacruz,09/12/2018,399.049.788-08,750887717098133,75490-735,Travessa Tiago,1163,Apto 3,Abreu Vila,Vila Patrícia,SP
Laís Ortega Tamoio,Helena Reis Alves,23/06/1989,234.733.027-67,815181827282949,95750-549,Largo Nádia Soares,37351,Bc. 96 Ap. 16,Lira Bittencourt,Santa Bernardo d'Oeste,PE
Santiago Lutero de Arruda,Luna Serra das Neves,25/01/2012,378.944.797-80,820957037873575,84326-717,Largo Valentin,38671,Bc. 66 Ap. 50,Toledo das Neves,São Bia,SP
Thiago Vasques Madeira,Isadora Vieira Dominato,10/12/2015,041.668.885-36,926234548099750,37582-587,Av. Patrícia Gusmão,50,F,de Aguiar Lourenço,Vila Igor,PR
Jácomo Gomes Meireles,Lívia Montenegro Delgado,02/04/1982,162.498.857-14,704258675052397,89192-247,R. Mônica,3,539º Andar,Pedrosa Galindo,Rivera do Leste,PE
Olga Medina Paes,Caroline Caldeira Rocha,19/11/2006,234.030.479-20,829733676470489,13599-360,Av. Campos,40,Apto 540,Franco Salazar,Bezerra do Leste,SC
